"x" "densidad" "result.2" "result.3" "result.4" "result.5" "result.6" "result.7" "result.8" "result.9" "result.10"
"1" 10 5.67853309909437e-05 3.91834359896961e-05 4.11422279862337e-05 4.14043238591088e-05 1.0080712075572e-05 2.97008195506212e-05 3.18163794305055e-05 2.09316054431045e-05 7.16144117738408e-05 1.72195445004948e-05
"2" 66.4046822742475 6.98907438282299e-05 5.02168919003515e-05 5.25627944304129e-05 5.13816721779571e-05 1.47144904641056e-05 3.90604460067574e-05 4.08647853451272e-05 3.06286285754845e-05 8.04799557997355e-05 2.51652193265146e-05
"3" 122.809364548495 8.4508170688721e-05 6.31216865158547e-05 6.5737202397833e-05 6.28230114516651e-05 2.08356125464952e-05 5.01368483766582e-05 5.15326921088654e-05 4.30642683643581e-05 9.02772318955204e-05 3.54675350286188e-05
"4" 179.214046822742 0.000100523485024709 7.79179878838216e-05 8.06139982373728e-05 7.57436025404372e-05 2.86839151322464e-05 6.2934668580427e-05 6.38783561293303e-05 5.83919739656654e-05 0.000101026705705477 4.83549432660749e-05
"5" 235.61872909699 0.000117779679476619 9.4566362183732e-05 9.70823702848869e-05 9.01225148960764e-05 3.84706813520312e-05 7.7397097779546e-05 7.79161920533164e-05 7.66087898089791e-05 0.000112734678011195 6.39508779977182e-05
"6" 292.023411371237 0.000136083530339048 0.000112966183475752 0.000114976744733464 0.000105901204318602 5.0361544512203e-05 9.34077286797485e-05 9.36131956013285e-05 9.75458505995931e-05 0.000125391120666316 8.22548003190617e-05
"7" 348.428093645485 0.000155213525506011 0.000132957361261387 0.000134084291942429 0.000122983627438657 6.44614714830802e-05 0.000110796108102735 0.000110887640677021 0.000120876700617394 0.000138967840120764 0.000103134555001502
"8" 404.832775919732 0.000174928430971005 0.000154325151325942 0.000154154522349673 0.000141237858117746 8.08032368594888e-05 0.000129346191143401 0.000129610078355837 0.000146141057613508 0.000153417079040278 0.000126330459312272
"9" 461.23745819398 0.000194975929375606 0.000176807598987804 0.000174910097189553 0.00016049908726519 9.93403867727024e-05 0.000148806745780338 0.00014960650543859 0.000172779626454763 0.000168670654881927 0.000151469940414205
"10" 517.642140468227 0.000215100857954054 0.000200105012202455 0.000196058020587325 0.000180573819037416 0.000119945192748834 0.000168902736553709 0.000170663437073009 0.000200174673724413 0.000184639715284154 0.000178090350533681
"11" 574.046822742475 0.000235052684748446 0.000223890779786421 0.000217300489868664 0.000201245026081629 0.000142411589311091 0.000189346799602372 0.000192534519449644 0.000227691215462819 0.000201215164782216 0.000205666939874654
"12" 630.451505016722 0.00025459197644557 0.00024782283371779 0.000238344832102082 0.000222277995559763 0.000166462639943713 0.000209850074001138 0.0002149482579555 0.000254714565270261 0.000218268787213116 0.000233642847010322
"13" 686.85618729097 0.000273495717772295 0.000271555094271576 0.000258912121756421 0.000243426585622127 0.000191761730183524 0.000230131841663158 0.000237616412494667 0.000280681288712648 0.000235655055189934 0.000261458274330827
"14" 743.260869565217 0.000291561434163932 0.000294748319271205 0.000278744236917018 0.000264439616968204 0.000217926466797523 0.000249927621215959 0.000260242620895822 0.000305101991174815 0.000253213584414917 0.000288576605516112
"15" 799.665551839465 0.000308610142913723 0.000317079889288053 0.000297609255907025 0.000285067143401487 0.000244544170183701 0.000268995539083927 0.000282530847305548 0.000327575594362169 0.000270772158632455 0.000314505941570137
"16" 856.070234113712 0.000324488212451406 0.000338252185067331 0.000315305214424932 0.00030506637560516 0.000271187869123941 0.000287120950405614 0.000304193308082634 0.000347795697945126 0.000288150222828358 0.000338815253670713
"17" 912.47491638796 0.000339068245920181 0.000357999339532114 0.000331662332384637 0.000324207070314508 0.000297431818458786 0.000304119397333988 0.000324957595696145 0.000365550234374241 0.00030516271967653 0.000361144984309693
"18" 968.879598662207 0.000352249126130412 0.000376092264754288 0.000346543880162314 0.000342276239331646 0.000322865732346523 0.000319838072120934 0.000344572794758529 0.000380715928996338 0.000321624128577913 0.000381212421944813
"19" 1025.28428093645 0.000363955367138157 0.00039234195748046 0.000359845888968731 0.000359082076432356 0.000347107130004046 0.000334156000280294 0.000362814457843142 0.000393249134002729 0.00033735255874052 0.000398812511914403
"20" 1081.6889632107 0.000374135916118427 0.000406601171114392 0.000371495923950075 0.000374457042627836 0.000369811402282496 0.000346983180265092 0.000379488377610095 0.00040317448690386 0.000352173747838741 0.000413814956004582
"21" 1138.09364548495 0.000382762540684681 0.000418764605836748 0.000381451136205387 0.000388260089471831 0.000390679406622835 0.000358258916521415 0.000394433152746905 0.000410572622816405 0.000365924825522146 0.000426158518406656
"22" 1194.4983277592 0.000389827923795449 0.000428767812053964 0.000389695795875825 0.000400378034701617 0.000409462571435584 0.000367949568454915 0.000407521596295673 0.000415567903406108 0.000378457715573861 0.000435843427257086
"23" 1250.90301003344 0.000395343572894514 0.000436585027267926 0.00039623848696654 0.000410726133549126 0.000425965631083231 0.000376045914086958 0.000418661075137945 0.00041831685670672 0.000389642070603074 0.000442922669415865
"24" 1307.30769230769 0.000399337633510153 0.000442226175294781 0.000401109119048305 0.000419247912106284 0.000440047216634871 0.000382560298381043 0.000427792898675457 0.000418997778730145 0.000399367657280645 0.00044749284903686
"25" 1363.71237458194 0.000401852681329769 0.000445733252541893 0.00040435588412876 0.00042591434612348 0.000451618596390412 0.000387523705772053 0.000434890893685397 0.00041780174439161 0.000407546136642412 0.000449685139768861
"26" 1420.11705685619 0.00040294355154406 0.000447176311896458 0.000406042260729007 0.000430722479826467 0.000460640897395183 0.000390982866757413 0.000439959312014997 0.000414925116748544 0.000414112211240609 0.000449656722053793
