225 4e-04
275 0
325 0
375 0
425 4e-04
475 0
525 0
575 4e-04
625 0
675 4e-04
725 4e-04
775 4e-04
825 8e-04
875 4e-04
925 0
975 4e-04
1025 4e-04
1075 4e-04
1125 0
1175 8e-04
1225 4e-04
1275 8e-04
1325 0
1375 0
1425 0.0016
1475 8e-04
1525 4e-04
1575 0
1625 0.0012
1675 4e-04
1725 4e-04
1775 0
1825 0
1875 4e-04
1925 8e-04
1975 4e-04
2025 0
2075 4e-04
2125 4e-04
2175 0
2225 0
2275 0
2325 0
2375 4e-04
2425 4e-04
2475 0.0012
2525 0
2575 0
2625 8e-04
2675 0
2725 4e-04
2775 0
2825 4e-04
2875 4e-04
2925 0
2975 0
3025 0
3075 0
3125 0
3175 4e-04
3225 4e-04
3275 0
3325 0
3375 0
3425 4e-04
3475 0
3525 4e-04
3575 0
3625 0
3675 0
3725 0
3775 0
3825 0
3875 0
3925 0
3975 0
4025 0
4075 0
4125 0
4175 0
4225 0
4275 4e-04
