parameter RMSE
1 0.50075090963472
2 0.447538997742096
3 0.275525987884991
4 0.0389633802435056
5 0.132655118634752
6 0.238894676583636
7 0.309989883705904
8 0.361610935951887
9 0.40183723321763
10 0.434888355213151
11 0.463076094178916
12 0.487725038828232
13 0.509645206982269
14 0.529210718428869
15 0.546679607722842
16 0.561377248826491
17 0.571127429301027
18 0.575239826941772
19 0.576567904934016
20 0.577059823588508
