parameter RMSE
1 0.496843006249011
2 0.502426259248003
3 0.433806240543202
4 0.292516495843999
5 0.058858130290066
6 0.11048815717069
7 0.210537907063818
8 0.273176272888711
9 0.310002246412753
10 0.334108667995441
11 0.346885168477857
12 0.354934756035151
13 0.377207616511031
14 0.381829655897132
15 0.387423613543107
16 0.410324960679427
17 0.397506058457
18 0.373440228228564
19 0.365711355108045
20 0.403533218078674
