parameter RMSE
1 0.50189041084683
2 0.447963499629155
3 0.27216976779209
4 0.0512880541646883
5 0.119995391578177
6 0.229394800507771
7 0.305409296682337
8 0.361842316486063
9 0.405706775270022
10 0.440979923579294
11 0.470088656531935
12 0.494568210159125
13 0.515388641706431
14 0.533051246598299
15 0.547520778601141
16 0.558500973589125
17 0.56590653954518
18 0.570461407546558
19 0.573194316964151
20 0.574789153516313
